trade_direction,nl_company,netherlands_cn8,hs_code,hs_code_sure_level,product_description,marks_and_numbers,origin_country,destination_country,del_country,country_sure_level,year,month,period,sailing_date,estimate_arrival_date,actual_arrival_date,flow,mode_of_transportation,lane_value_usd,cif_value_usd,quantity_unit,weight_unit,supplier_name,supplier_address,supplier_city,supplier_phone,supplier_website,supplier_contact,indicator_true_supplier,importer_name,importer_address,importer_city,importer_phone,importer_website,importer_contact,indicator_true_buyer,notify_party_name,notify_party_address,also_notify_name,per_shipment_quantity,per_shipment_weight_kg,origin_port,destination_port,port_of_final_delivery,teu,feu,cbm,vessel_name,vessel_code,vessel_country_code,voyage,manifest_no,carrier_sasc_code,bill_type_code,bill_of_lading_no,master_bill_of_lading,container_id,container_size,container_type,container_desc_code,container_load_status,container_type_of_service,freight_forwarder_name,estimated_value_usd
Export (NL seller),Syensqo Solutions Nederland B.V.,38221100,382211,6,"Reagents; diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, whether or not put up in the form of kits; for malaria",MARKS4995,Netherlands,Bangladesh,Bangladesh,5,2023,7,2023-07,2023-07-06,20230719,20230719,export,1,519220.72,43899.43,kg,KG,Syensqo Solutions Nederland B.V.,[in full dataset],Klundert,,,,Y,SYNGENTA BANGLADESH LIMITED,[in full dataset],Dhaka,,www.syngenta.com.bd,[in full dataset],N,Syensqo Solutions Nederland B.V.,[in full dataset],,23987.2,23987.2,Rotterdam,Chittagong,Dhaka,1,1,29.98,COSCO UNIVERSE,IMO2577000,SG,V719,174,ZIMU,SWB,HLCU400863222,HLCU701301023,TGHU5338233,20GP,FLAT RACK,GP,FCL,CFS/CFS,DB Schenker,38929.93
Import (NL buyer),S en L Beveiligingen B.V.,84222000,842220,7,Machinery; for cleaning or drying bottles or other containers,MARKS4563,Uganda,Netherlands,Netherlands,7,2018,12,2018-12,2018-12-13,20181226,20181226,import,1,1762.28,1968.98,kg,KG,C.O.T.E -TECH (U) LIMITED,[in full dataset],Kampala,,www.coteug.com,[in full dataset],Y,S en L Beveiligingen B.V.,[in full dataset],Roosendaal,,www.senlsecurity.nl,[in full dataset],Y,C.O.T.E -TECH (U) LIMITED,[in full dataset],,16299,16299,Main Container Port,Rotterdam,Roosendaal,1,1,20.37,OOCL HONG KONG,IMO2280772,MH,V814,692,APLU,MBL,CMDU583072274,MSCU107742479,MSCU2050728,40HC,TANK,GP,FCL,CFS/CFS,Bollore Logistics,1762.28
Export (NL seller),Kuehne + Nagel Logistics B.V.,87019190,870191,7,Tractors; n.e.c. in heading no 8701 (other than tractors of heading no 8709); of an engine power not exceeding 18kW,MARKS3157,Netherlands,Saudi Arabia,Saudi Arabia,5,2024,1,2024-01,2024-01-19,20240117,20240117,import,1,769337.05,868.2,kg,KG,Kuehne + Nagel Logistics B.V.,[in full dataset],Rotterdam,,home.kuehne-nagel.com,[in full dataset],Y,ARRIYADH DEVELOPMENT COMPANY,[in full dataset],Riyadh,,www.riyadh.dev,[in full dataset],Y,Kuehne + Nagel Logistics B.V.,[in full dataset],,23021.1,23021.1,Rotterdam,Jeddah,Riyadh,1,1,28.78,EVER ACME,IMO7569088,MH,V931,577,APLU,HBL,CMDU940593380,EGLV206211799,BMOU4131335,40GP,OPEN TOP,GP,FCL,CY/CY,Yusen Logistics,769.5
Export (NL seller),Kara Energy Systems B.V.,27079911,270799,5,Oils and other products of the distillation of high temperature coal tar; n.e.c. in heading no. 2707,MARKS4714,Netherlands,Trinidad and Tobago,Trinidad and Tobago,9,2016,10,2016-10,2016-10-06,20161022,20161022,export,1,105073.37,489.47,kg,KG,Kara Energy Systems B.V.,[in full dataset],Almelo,,www.karaenergysystems.com,[in full dataset],Y,Perenco T&T Limited,[in full dataset],Port of Spain,,www.perenco.com,[in full dataset],N,Kara Energy Systems B.V.,[in full dataset],,24535.5,24535.5,Rotterdam,Main Container Port,Port of Spain,1,1,30.67,BARZAN,IMO4161960,PA,V544,436,YMLU,MBL,MAEU749389335,HLCU380206375,TCLU6929466,20GP,FLAT RACK,RF,LCL,CFS/CFS,Bollore Logistics,450.85
Import (NL buyer),Deventrade E-Commerce B.V.,90312000,903120,5,Test benches,MARKS5937,Hong Kong,Netherlands,Netherlands,6,2019,12,2019-12,2019-12-23,20191210,20191210,import,1,21496707.44,51271.64,kg,KG,"Hisense Home Appliances Group Co., Ltd.",[in full dataset],Sai Ying Pun,,hxjd.hisense.cn,[in full dataset],Y,Deventrade E-Commerce B.V.,[in full dataset],Deventer,,www.hummelsport.nl,[in full dataset],Y,"Hisense Home Appliances Group Co., Ltd.",[in full dataset],,20472.9,20472.9,Hong Kong (Kwai Tsing),Rotterdam,Deventer,1,1,25.59,MAERSK MOLLER,IMO4968898,SG,V895,63,CMDU,MBL,ONEY332809019,YMLU327012485,BMOU2076762,40HC,REEFER,GP,FCL,CY/CFS,DSV,46204.17
Export (NL seller),Delarange Cosmetics B.V.,30024200,300242,6,"Vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products; for veterinary medicine",MARKS1246,Netherlands,South Korea,South Korea,8,2015,6,2015-06,2015-06-12,20150628,20150628,import,1,10591073,1043.64,kg,KG,Delarange Cosmetics B.V.,[in full dataset],Zeewolde,,www.delarange.com,[in full dataset],N,Chong Kun Dang Pharmaceutical Corp.,[in full dataset],Seoul,,www.ckdpharm.com,[in full dataset],Y,Delarange Cosmetics B.V.,[in full dataset],,6005.3,6005.3,Amsterdam,Gwangyang,Seoul,1,1,7.51,ONE APUS,IMO2931545,SG,V858,681,COSU,SWB,EGLV995781920,MAEU300022097,MSCU3451943,40HC,FLAT RACK,RF,FCL,CY/CY,Kuehne + Nagel,979.28
Import (NL buyer),Eriell Oilfield Services B.V.,27111310,271113,8,"Petroleum gases and other gaseous hydrocarbons; liquefied, butanes",MARKS8052,Portugal,Netherlands,Netherlands,5,2025,10,2025-10,2025-10-10,20251005,20251005,import,1,11205355.2,57834.81,kg,KG,"FUTURE GENERATION ENERGY, UNIPESSOAL, LDA",[in full dataset],LISBOA,,www.fgenergy.pt,[in full dataset],Y,Eriell Oilfield Services B.V.,[in full dataset],Amsterdam,,,,N,"FUTURE GENERATION ENERGY, UNIPESSOAL, LDA",[in full dataset],,13636.6,13636.6,Main Container Port,Rotterdam,Amsterdam,1,1,17.05,BARZAN,IMO2035138,PA,V239,646,MSCU,HBL,HLCU243748386,EGLV870027907,BMOU1726393,20GP,FLAT RACK,HC,FCL,CFS/CFS,Kuehne + Nagel,53490.05
Import (NL buyer),Van Mossel MB Vans & Trucks B.V.,87045291,870452,6,"Vehicles; with both spark-ignition internal combustion piston engine and electric motors for propulsion, of a g.v.w. exceeding 5,000kg",MARKS2907,Singapore,Netherlands,Netherlands,5,2024,1,2024-01,2024-01-01,20240107,20240107,import,1,904813.33,81091.07,kg,KG,JARDINE CYCLE & CARRIAGE LIMITED,[in full dataset],Singapore,,www.jcclgroup.com,[in full dataset],Y,Van Mossel MB Vans & Trucks B.V.,[in full dataset],Waalwijk,,www.rogam.nl,[in full dataset],Y,JARDINE CYCLE & CARRIAGE LIMITED,[in full dataset],,22297.9,22297.9,Singapore (PSA),Amsterdam,Waalwijk,1,1,27.87,ONE APUS,IMO7118237,SG,V702,416,CMDU,SWB,HLCU648520794,COSU655413664,TGHU7132639,40HC,FLAT RACK,RF,LCL,CY/CFS,CEVA Logistics,76925.34
Import (NL buyer),Trivium Aluminium Packaging Netherlands B.V.,76129020,761290,8,"Aluminium; casks, drums, cans, boxes and the like for any material (not compressed or liquefied gas), 300l capacity or less, whether or not lined or heat-insulated, no mechanical or thermal equipment",MARKS8905,Uruguay,Netherlands,Netherlands,5,2022,1,2022-01,2022-01-05,20220117,20220117,import,1,20905.76,24006.27,kg,KG,ALUMINIOS DEL URUGUAY S.A.,[in full dataset],Montevideo,,www.aluminios.com,[in full dataset],Y,Trivium Aluminium Packaging Netherlands B.V.,[in full dataset],Deventer,,www.triviumpackaging.com,[in full dataset],Y,ALUMINIOS DEL URUGUAY S.A.,[in full dataset],,17997.2,17997.2,Main Container Port,Amsterdam,Deventer,1,1,22.5,MAERSK MOLLER,IMO6124660,LR,V924,631,MAEU,SWB,EGLV751513449,MAEU967417767,TGHU2546680,40GP,OPEN TOP,HC,LCL,CY/CY,Yusen Logistics,20905.76
Export (NL seller),OK Marine B.V.,84569000,845690,8,Machine tools; for working any material by removal of material; operated by other processes n.e.c. in heading 8456,MARKS4686,Netherlands,Zimbabwe,Zimbabwe,8,2018,12,2018-12,2018-12-22,20181218,20181218,export,1,94427.47,38975.99,kg,KG,OK Marine B.V.,[in full dataset],Breda,,www.ok-marine.nl,[in full dataset],Y,NATIONAL PHARMACEUTICAL COMPANY,[in full dataset],Harare,,natpharm.co.zw,[in full dataset],Y,OK Marine B.V.,[in full dataset],,24363.7,24363.7,Amsterdam,Main Container Port,Harare,1,1,30.45,EVER GIVEN,IMO6133842,PA,V898,181,APLU,MBL,ONEY349632656,HLCU722038616,GESU7810233,45HC,FLAT RACK,RF,LCL,CFS/CFS,Yusen Logistics,36154.12
Import (NL buyer),Marees en Kistemaker B.V.,27012000,270120,9,"Briquettes, ovoids and similar solid fuels; manufactured from coal",MARKS3092,Hungary,Netherlands,Netherlands,7,2016,10,2016-10,2016-10-26,20161021,20161021,export,1,840907,11520.45,kg,KG,Premier Energy Wind 158 Kft.,[in full dataset],Budapest,,,,N,Marees en Kistemaker B.V.,[in full dataset],Kolhorn,,www.aviamarees.nl,[in full dataset],Y,Premier Energy Wind 158 Kft.,[in full dataset],,3440.4,3440.4,Budapest (inland),Amsterdam,Kolhorn,1,1,4.3,OOCL HONG KONG,IMO5131774,SG,V142,8,MAEU,MBL,ONEY191106983,HLCU883138037,GESU8069954,20GP,OPEN TOP,HC,LCL,CFS/CFS,Yusen Logistics,10967.23
Export (NL seller),Lagaay Medical B.V.,30034100,300341,8,"Medicaments; containing alkaloids or their derivatives, containing ephedrine or its salts, for therapeutic or prophylactic uses, (not packaged for retail sale)",MARKS8721,Netherlands,Colombia,Colombia,6,2015,6,2015-06,2015-06-26,20150615,20150615,export,1,10508668.86,928.82,kg,KG,Lagaay Medical B.V.,[in full dataset],Rotterdam,,www.medoxmarine.com,[in full dataset],Y,UNION DE DROGUISTAS S A S UNIDROGAS S A S,[in full dataset],FLORIDABLANCA,,WWW.UNIDROGAS.NET.CO,[in full dataset],Y,Lagaay Medical B.V.,[in full dataset],,7233,7233,Amsterdam,Cartagena,FLORIDABLANCA,1,1,9.04,YM WARRANTY,IMO1255609,LR,V372,101,ZIMU,SWB,HLCU761151901,ONEY283740112,TCLU5042533,40GP,OPEN TOP,HC,FCL,CY/CFS,DB Schenker,858.72
Import (NL buyer),Vepymo B.V.,03057200,030572,8,"Fish; edible offal, fish heads, tails and maws",MARKS6398,Hungary,Netherlands,Netherlands,8,2017,1,2017-01,2017-01-08,20170119,20170119,import,1,1257.76,1374.93,kg,KG,Megyer Agro Kft.,[in full dataset],Győr,,,,Y,Vepymo B.V.,[in full dataset],Melderslo,,www.vepymo.com,[in full dataset],Y,Megyer Agro Kft.,[in full dataset],,4003.2,4003.2,Koper (via SI),Rotterdam,Melderslo,1,1,5,CSCL GLOBE,IMO5843375,SG,V976,874,ONEY,MBL,CMDU297012753,EGLV556015502,FCIU5860163,40HC,OPEN TOP,HC,LCL,CY/CFS,Kuehne + Nagel,1257.76
Import (NL buyer),Pon Auto Import Nederland B.V.,87113090,871130,9,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 250cc but not exceeding 500cc, with or without side-cars; side-cars",MARKS9773,Suriname,Netherlands,Netherlands,9,2024,1,2024-01,2024-01-14,20240106,20240106,import,1,10598.7,11755.1,kg,KG,Car Point NV,[in full dataset],Paramaribo,,,,Y,Pon Auto Import Nederland B.V.,[in full dataset],Leusden,,www.volkswagen.nl,[in full dataset],Y,Car Point NV,[in full dataset],,12508.5,12508.5,Main Container Port,Rotterdam,Leusden,1,1,15.64,CMA CGM JULES VERNE,IMO7433804,LR,V100,81,APLU,SWB,MSCU401933879,ONEY508091616,GESU9919725,40HC,REEFER,RF,FCL,CFS/CFS,Kuehne + Nagel,10598.7
Export (NL seller),Copernicus Interchange Technology B.V.,84152000,841520,8,"Air conditioning machines; comprising a motor driven fan and elements for changing the temperature and humidity, of a kind used for persons, in motor vehicles",MARKS8001,Netherlands,Cambodia,Cambodia,8,2018,12,2018-12,2018-12-22,20181211,20181211,export,1,201813.58,7246.41,kg,KG,Copernicus Interchange Technology B.V.,[in full dataset],Hoofddorp,,www.copernicare.nl,[in full dataset],Y,"FU MIN MIAN BANG (CAMBODIA) CO., LTD.",[in full dataset],Kampong Speu,,,,Y,Copernicus Interchange Technology B.V.,[in full dataset],,10555.6,10555.6,Rotterdam,Main Container Port,Kampong Speu,1,1,13.19,BARZAN,IMO9849351,SG,V174,423,COSU,HBL,COSU272667053,COSU459392437,GESU3778047,45HC,DRY,HC,FCL,CY/CFS,DSV,6423.96
Import (NL buyer),Breijer Techniek West B.V.,84304100,843041,5,"Boring or sinking machinery; self-propelled, n.e.c. in heading no. 8430",MARKS7870,Gabon,Netherlands,Netherlands,6,2018,12,2018-12,2018-12-26,20181202,20181202,import,1,91669.07,69685.06,kg,KG,APPROS EQUIPEMENT SERVICES,[in full dataset],Port-Gentil,,,,Y,Breijer Techniek West B.V.,[in full dataset],Rotterdam,,www.facilicom.nl,[in full dataset],Y,APPROS EQUIPEMENT SERVICES,[in full dataset],,9422,9422,Main Container Port,Amsterdam,Rotterdam,1,1,11.78,CSCL GLOBE,IMO4436498,PA,V796,365,OOLU,HBL,EGLV844775739,EGLV435942928,GESU6029728,45HC,DRY,RF,LCL,CFS/CFS,DHL Global Forwarding,62111.17
Import (NL buyer),Kuwait Petroleum Aviation (Netherlands) B.V.,27030000,270300,5,"Peat; (including peat litter), whether or not agglomerated",MARKS5119,Israel,Netherlands,Netherlands,7,2016,10,2016-10,2016-10-02,20161026,20161026,import,1,265250.28,3361.11,kg,KG,TAMAR PETROLEUM LTD,[in full dataset],HERZLIYA,,www.tamarpetroleum.co.il,[in full dataset],Y,Kuwait Petroleum Aviation (Netherlands) B.V.,[in full dataset],Rotterdam,,www.kuwaitaviation.ae,[in full dataset],Y,TAMAR PETROLEUM LTD,[in full dataset],,7563.4,7563.4,Haifa,Amsterdam,Rotterdam,1,1,9.45,HMM ALGECIRAS,IMO6304962,MH,V161,479,OOLU,MBL,ONEY424135351,HLCU191728270,TGHU9231664,45HC,TANK,RF,FCL,CFS/CFS,DHL Global Forwarding,3082.78
Export (NL seller),"Kwekerij ""De Kaaijman"" B.V.",03079200,030792,6,"Molluscs; n.e.c. in heading 0307, whether in shell or not, frozen",MARKS1492,Netherlands,Gambia,Gambia,6,2017,9,2017-09,2017-09-13,20170915,20170915,export,1,2231.58,2440.77,kg,KG,"Kwekerij ""De Kaaijman"" B.V.",[in full dataset],Oostvoorne,,www.redstar.nl,[in full dataset],Y,TROPINGO LIMITED,[in full dataset],Jenoi,,,,Y,"Kwekerij ""De Kaaijman"" B.V.",[in full dataset],,10646.6,10646.6,Amsterdam,Main Container Port,Jenoi,1,1,13.31,MADRID MAERSK,IMO5003537,LR,V254,418,CMDU,SWB,MAEU237760670,MAEU450762986,TCLU4516366,40HC,FLAT RACK,HC,FCL,CY/CY,Bollore Logistics,2231.58
Export (NL seller),Zenchi B.V.,30049000,300490,5,"Medicaments; consisting of mixed or unmixed products n.e.c. in heading no. 3004, for therapeutic or prophylactic uses, packaged for retail sale",MARKS5531,Netherlands,Ukraine,Ukraine,8,2015,6,2015-06,2015-06-02,20150617,20150617,export,1,4044863.25,878.44,kg,KG,Zenchi B.V.,[in full dataset],Gieten,,www.flaska.nl,[in full dataset],Y,EPICENTR K LLC,[in full dataset],Kyiv,,//epicentrk.ua,[in full dataset],Y,Zenchi B.V.,[in full dataset],,5300.5,5300.5,Amsterdam,Main Container Port,Kyiv,1,1,6.63,MOL TRIUMPH,IMO2637264,LR,V702,695,YMLU,MBL,MSCU711547302,COSU294451723,FCIU7214042,40HC,TANK,RF,LCL,CY/CFS,CEVA Logistics,789.33
Import (NL buyer),FM Administratieve Diensten,90178010,901780,8,Mathematical instruments and equipment; n.e.c. in heading no. 9017,MARKS4904,Poland,Netherlands,Netherlands,8,2019,12,2019-12,2019-12-11,20191225,20191225,import,1,12434183.51,336252.01,kg,KG,INMEDIO SERVICES SP Z O O,[in full dataset],Warszawa,,,,Y,FM Administratieve Diensten,[in full dataset],Doetinchem,,,,Y,INMEDIO SERVICES SP Z O O,[in full dataset],,1234.8,1234.8,Gdynia,Rotterdam,Doetinchem,1,1,1.54,YM WARRANTY,IMO4469496,PA,V252,141,EGLV,SWB,YMLU167214999,ONEY854839285,GESU7959156,40HC,OPEN TOP,RF,FCL,CY/CY,Yusen Logistics,302951.06
Import (NL buyer),Eni Energy Netherlands B.V.,27030000,270300,8,"Peat; (including peat litter), whether or not agglomerated",MARKS9027,Gibraltar,Netherlands,Netherlands,9,2025,10,2025-10,2025-10-02,20251012,20251012,import,1,3087437.32,1590.63,kg,KG,TETHYS OIL BLOCK 3&4 LIMITED,[in full dataset],Gibraltar,,,,N,Eni Energy Netherlands B.V.,[in full dataset],'s-Gravenhage,,www.neptuneenergy.com,[in full dataset],Y,TETHYS OIL BLOCK 3&4 LIMITED,[in full dataset],,23701.5,23701.5,Main Container Port,Rotterdam,'s-Gravenhage,1,1,29.63,CSCL GLOBE,IMO8416762,PA,V124,539,EGLV,SWB,HLCU991949798,HLCU319178194,CAIU6457073,45HC,OPEN TOP,GP,FCL,CY/CFS,Yusen Logistics,1412.9
Import (NL buyer),Van Leeuwen Pipe and Tube Asia Pacific B.V.,73182400,731824,8,Iron or steel; non-threaded cotters and cotter-pins,MARKS7290,Costa Rica,Netherlands,Netherlands,6,2021,3,2021-03,2021-03-05,20210307,20210307,import,1,13136.59,14740.98,kg,KG,Estructuras de Concreto S.A.,[in full dataset],Cartago,,,,Y,Van Leeuwen Pipe and Tube Asia Pacific B.V.,[in full dataset],Zwijndrecht,,www.vanleeuwen.com,[in full dataset],Y,Estructuras de Concreto S.A.,[in full dataset],,14895.9,14895.9,Main Container Port,Rotterdam,Zwijndrecht,1,1,18.62,OOCL HONG KONG,IMO9283450,PA,V297,85,CMDU,SWB,CMDU369819506,YMLU997846494,FCIU8670832,40HC,REEFER,GP,FCL,CFS/CFS,DSV,13136.59
Import (NL buyer),Van Hoesel Aluminium Kozijnen B.V.,76072010,760720,5,"Aluminium; foil, backed with paper, paperboard, plastics or similar backing materials, of a thickness (excluding any backing) not exceeding 0.2mm",MARKS3305,Canada,Netherlands,Netherlands,7,2022,2,2022-02,2022-02-07,20220223,20220223,export,1,119886.25,17312.02,kg,KG,Rio Tinto Alcan Inc.,[in full dataset],Montréal,,www.riotinto.com,[in full dataset],Y,Van Hoesel Aluminium Kozijnen B.V.,[in full dataset],Goirle,,www.pvanhoesel.nl,[in full dataset],Y,Rio Tinto Alcan Inc.,[in full dataset],,18724.8,18724.8,"Vancouver, BC",Rotterdam,Goirle,1,1,23.41,COSCO UNIVERSE,IMO2839503,SG,V386,284,OOLU,MBL,MAEU679550352,MAEU475991101,CAIU5031416,40GP,FLAT RACK,RF,FCL,CY/CFS,Expeditors,15252.43
Export (NL seller),Center Parcs Netherlands B.V.,87051000,870510,7,Vehicles; crane lorries,MARKS3050,Netherlands,Papua New Guinea,Papua New Guinea,5,2020,3,2020-03,2020-03-03,20200320,20200320,export,1,8606.23,9531.19,kg,KG,Center Parcs Netherlands B.V.,[in full dataset],Capelle aan den IJssel,,www.centerparcs.nl,[in full dataset],Y,NATIONAL SUPERANNUATION FUND LIMITED,[in full dataset],Konedobu Port Moresby NCD,,www.nasfund.com.pg,[in full dataset],N,Center Parcs Netherlands B.V.,[in full dataset],,23092,23092,Rotterdam,Main Container Port,Konedobu Port Moresby NCD,1,1,28.86,EVER ACME,IMO7654410,LR,V295,628,MAEU,MBL,COSU319941394,MSCU733814842,CAIU4460375,40HC,TANK,RF,LCL,CY/CFS,Bollore Logistics,8606.23
Export (NL seller),CW Personeels B.V.,90141000,901410,7,Navigational instruments and appliances; direction finding compasses,MARKS6384,Netherlands,United Kingdom,United Kingdom,9,2022,6,2022-06,2022-06-25,20220613,20220613,export,1,335837509.98,518.99,kg,KG,CW Personeels B.V.,[in full dataset],Pernis Rotterdam,,www.cowasport.nl,[in full dataset],Y,PHOENIX HEALTHCARE DISTRIBUTION LIMITED,[in full dataset],RUNCORN,,www.myp-i-n.co.uk,[in full dataset],Y,CW Personeels B.V.,[in full dataset],,24161.8,24161.8,Rotterdam,Liverpool,RUNCORN,1,1,30.2,HYUNDAI LOYALTY,IMO4205189,LR,V269,112,EGLV,HBL,ONEY385503794,COSU454890819,TCLU8430855,40HC,DRY,HC,FCL,CFS/CFS,Yusen Logistics,453.27
Import (NL buyer),Mercedes-Benz Nederland B.V.,87011000,870110,5,Tractors; single axle,MARKS5737,Russia,Netherlands,Netherlands,7,2024,1,2024-01,2024-01-08,20240117,20240117,import,1,238348.11,33465.86,kg,KG,"BIZNES KAR M, OOO",[in full dataset],Moscow,,,,Y,Mercedes-Benz Nederland B.V.,[in full dataset],Nieuwegein,,www.mercedes-benz.nl,[in full dataset],Y,"BIZNES KAR M, OOO",[in full dataset],,5635.2,5635.2,Vladivostok,Amsterdam,Nieuwegein,1,1,7.04,MSC OSCAR,IMO8728242,MH,V869,666,OOLU,MBL,ONEY470828957,ONEY363615702,CAIU9974237,40HC,DRY,RF,FCL,CY/CFS,Yusen Logistics,30220.38
Export (NL seller),Groeneveldt PT,90111000,901110,6,"Microscopes, compound optical; stereoscopic microscopes",MARKS5917,Netherlands,Switzerland,Switzerland,9,2019,12,2019-12,2019-12-16,20191210,20191210,export,1,84048188.42,213.95,kg,KG,Groeneveldt PT,[in full dataset],Hoogvliet Rotterdam,,,,Y,"M.R.S.I. Medical Research, Services & Investments SA",[in full dataset],Vouvry,,,,Y,Groeneveldt PT,[in full dataset],,24607.5,24607.5,Amsterdam,Basel (river),Vouvry,1,1,30.76,HYUNDAI LOYALTY,IMO6631721,MH,V271,894,OOLU,HBL,EGLV943153779,HLCU724031859,MSCU5541367,20GP,DRY,RF,FCL,CY/CY,CEVA Logistics,200
Import (NL buyer),Kuster Energy Exploitatie B.V.,27021000,270210,7,"Lignite; whether or not pulverised, but not agglomerated, excluding jet",MARKS8364,Gibraltar,Netherlands,Netherlands,8,2025,10,2025-10,2025-10-04,20251013,20251013,import,1,3087437.32,43939,kg,KG,TETHYS OIL BLOCK 3&4 LIMITED,[in full dataset],Gibraltar,,,,Y,Kuster Energy Exploitatie B.V.,[in full dataset],Babberich,,,,Y,TETHYS OIL BLOCK 3&4 LIMITED,[in full dataset],,18408.7,18408.7,Main Container Port,Rotterdam,Babberich,1,1,23.01,CSCL GLOBE,IMO9613118,PA,V322,910,COSU,HBL,MSCU234186703,HLCU409668480,TCLU5390001,45HC,OPEN TOP,RF,FCL,CY/CFS,DB Schenker,38497.35
Import (NL buyer),Energy Food Ingredients B.V.,27131100,271311,5,"Petroleum coke; (not calcined), obtained from bituminous minerals",MARKS1392,Greece,Netherlands,Netherlands,5,2025,10,2025-10,2025-10-22,20251003,20251003,import,1,2915367.36,1144.92,kg,KG,ELLINIKA KAFSIMA ORYKTELAIA MONOPROSOPI ANONYMOS VIOMICHANIKI KAI EMPORIKI ETAIREIA,[in full dataset],Maroussi,,www.eko.gr,[in full dataset],Y,Energy Food Ingredients B.V.,[in full dataset],Breda,,www.energy-foodingredients.com,[in full dataset],Y,ELLINIKA KAFSIMA ORYKTELAIA MONOPROSOPI ANONYMOS VIOMICHANIKI KAI EMPORIKI ETAIREIA,[in full dataset],,18797.2,18797.2,Main Container Port,Rotterdam,Breda,1,1,23.5,COSCO UNIVERSE,IMO7035517,LR,V397,946,MSCU,HBL,CMDU846765098,MAEU637881285,TGHU3339679,20GP,TANK,RF,FCL,CFS/CFS,DSV,1072.8
Import (NL buyer),Eni Energy Muara Bakau B.V.,27074000,270740,5,Oils and products of the distillation of high temperature coal tar; naphthalene,MARKS8062,Hungary,Netherlands,Netherlands,5,2016,10,2016-10,2016-10-13,20161005,20161005,export,1,840907,23736.36,kg,KG,Premier Energy Wind 158 Kft.,[in full dataset],Budapest,,,,Y,Eni Energy Muara Bakau B.V.,[in full dataset],'s-Gravenhage,,,,Y,Premier Energy Wind 158 Kft.,[in full dataset],,21332.4,21332.4,Budapest (inland),Amsterdam,'s-Gravenhage,1,1,26.67,COSCO UNIVERSE,IMO5903202,LR,V225,58,CMDU,SWB,MSCU164077132,MSCU858245348,GESU1653166,40HC,DRY,RF,LCL,CY/CFS,CEVA Logistics,20868.72
Import (NL buyer),Koninklijke Fabriek Inventum B.V.,88069400,880694,8,Unmanned aircraft; for other than remote-controlled flight and other than for carriage of passengers with a maximum take-off weight more than 25kg but not more than 150kg,MARKS6378,Hong Kong,Netherlands,Netherlands,5,2018,11,2018-11,2018-11-22,20181106,20181106,export,1,18526.37,20422.84,kg,KG,Cirrus Aircraft Limited,[in full dataset],Causeway Bay,,cirrusaircraft.com,[in full dataset],Y,Koninklijke Fabriek Inventum B.V.,[in full dataset],Houten,,,,Y,Cirrus Aircraft Limited,[in full dataset],,6204.9,6204.9,Hong Kong (Kwai Tsing),Rotterdam,Houten,1,1,7.76,MADRID MAERSK,IMO8163363,SG,V111,706,ZIMU,MBL,COSU383879879,CMDU946082765,GESU3700114,40HC,TANK,GP,LCL,CY/CY,Nippon Express,18526.37
Import (NL buyer),Medtronic Bakken Research Center B.V.,30021500,300215,8,"Blood, human or animal, antisera, other blood fractions and immunological products; immunological products, put up in measured doses or in forms or packings for retail sale",MARKS9031,Egypt,Netherlands,Netherlands,6,2015,6,2015-06,2015-06-25,20150612,20150612,import,1,626622.81,43974.63,kg,KG,EVA PHARMA FOR PHARMACEUTICALS AND MEDICAL APPLIANCES S.A.E,[in full dataset],Giza,,www.evapharma.com,[in full dataset],Y,Medtronic Bakken Research Center B.V.,[in full dataset],Maastricht,,www.medtronic.nl,[in full dataset],Y,EVA PHARMA FOR PHARMACEUTICALS AND MEDICAL APPLIANCES S.A.E,[in full dataset],,4058.5,4058.5,Damietta,Rotterdam,Maastricht,1,1,5.07,MSC GULSUN,IMO2610046,MH,V123,687,EGLV,HBL,EGLV645477331,EGLV545059577,FCIU2780309,40GP,FLAT RACK,HC,LCL,CFS/CFS,Nippon Express,39568.28
Export (NL seller),"OIKOCREDIT, Ecumenical Development Cooperative Society U.A.",87149300,871493,7,"Cycles; parts thereof, hubs (other than coaster braking hubs and hub brakes) and free-wheel sprocket-wheels",MARKS5112,Netherlands,Malaysia,Malaysia,6,2024,1,2024-01,2024-01-03,20240120,20240120,import,1,248981.18,3549.99,kg,KG,"OIKOCREDIT, Ecumenical Development Cooperative Society U.A.",[in full dataset],Amersfoort,,www.oikocredit.coop,[in full dataset],Y,DRB-HICOM BERHAD,[in full dataset],Shah Alam,,www.drb-hicom.com,[in full dataset],Y,"OIKOCREDIT, Ecumenical Development Cooperative Society U.A.",[in full dataset],,14006.7,14006.7,Rotterdam,Penang,Shah Alam,1,1,17.51,APL MEXICO CITY,IMO4692123,MH,V344,14,APLU,SWB,EGLV775755827,EGLV700110665,TGHU2052081,20GP,FLAT RACK,HC,FCL,CY/CFS,Kuehne + Nagel,3272.14
