vehicle_type,hs_code,sa_sacu_hs8,exporter_hs8,hs_code_sure_level,product_description,marks_and_numbers,origin_country,destination_country,del_country,country_sure_level,year,month,period,sailing_date,estimate_arrival_date,actual_arrival_date,flow,mode_of_transportation,lane_value_usd,cif_value_usd,quantity_unit,weight_unit,supplier_name,,supplier_address,supplier_city,supplier_phone,supplier_website,supplier_contact,indicator_true_supplier,importer_name,importer_address,importer_city,importer_phone,importer_website,importer_contact,indicator_true_buyer,notify_party_name,notify_party_address,also_notify_name,per_shipment_quantity,per_shipment_weight_kg,origin_port,destination_port,port_of_final_delivery,teu,feu,cbm,vessel_name,vessel_code,vessel_country_code,voyage,manifest_no,carrier_sasc_code,bill_type_code,bill_of_lading_no,master_bill_of_lading,container_id,container_size,container_type,container_desc_code,container_load_status,container_type_of_service,freight_forwarder_name,estimated_value_usd
Passenger car,870370,87037025,8703701000,9,"Vehicles; with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, capable of being charged by plugging to external source of electric power",MARKS8307,South Korea,South Africa,South Africa,5,2024,12,2024-12,2024-12-09,20241218,20241218,import,1,12296824.7,14173.9,kg,KG,"K Car Co., Ltd.",,[in full dataset],Seoul,,www.kcar.com,[in full dataset],Y,PECAZO EXECUTIVE TRAILERS (PTY) LTD,[in full dataset],BUSHBUCKRIDGE,,,,Y,"K Car Co., Ltd.",[in full dataset],,20494,20494,Gwangyang,Cape Town,BUSHBUCKRIDGE,1,1,25.62,APL MEXICO CITY,IMO4934611,MH,V162,928,EGLV,HBL,HLCU567970070,CMDU948807919,MSCU6821669,40GP,OPEN TOP,HC,LCL,CY/CFS,Sinotrans,12776.04
Passenger car,870350,87035027,8703507110,9,"Vehicles; with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, incapable of being charged by plugging to external source of electric power",MARKS7430,China,South Africa,South Africa,6,2024,8,2024-08,2024-08-21,20240821,20240821,import,1,133942362.69,2772.41,kg,KG,"Suizhou Hongxin Special Automotive Imp.& Exp. Co.,ltd.",,[in full dataset],Suizhou,,,,Y,MAVERICK TRADING 1604 CC,[in full dataset],CAPE TOWN,,www.tri-cycle.co.za,[in full dataset],N,"Suizhou Hongxin Special Automotive Imp.& Exp. Co.,ltd.",[in full dataset],,10731,10731,Guangzhou,Ngqura,CAPE TOWN,1,1,13.41,YM WARRANTY,IMO1147031,PA,V690,913,ONEY,HBL,ONEY573990514,COSU136779352,BMOU2214823,40GP,FLAT RACK,GP,FCL,CY/CFS,DHL Global Forwarding,2592.1
Bus / coach,870290,87029081,87029011,7,"Vehicles; public transport type (carries 10 or more persons, including driver), n.e.c. in heading 8702, new or used",MARKS9762,India,South Africa,South Africa,9,2025,4,2025-04,2025-04-26,20250415,20250415,import,1,160436481.5,1080.12,kg,KG,TATA MOTORS PASSENGER VEHICLES LIMITED,,[in full dataset],Mumbai,,www.tatamotors.com,[in full dataset],Y,ELDORADO TRAILERS (PTY) LTD,[in full dataset],GAUTENG,,,,Y,TATA MOTORS PASSENGER VEHICLES LIMITED,[in full dataset],,22143.8,22143.8,Kandla,Ngqura,GAUTENG,1,1,27.68,BARZAN,IMO1210774,LR,V361,292,MAEU,HBL,ONEY182401032,ONEY771671608,TCLU8473624,40HC,DRY,RF,LCL,CY/CFS,Yusen Logistics,971.65
Goods vehicle (truck),870442,87044290,87044291,9,"Vehicles; with both compression-ignition internal combustion piston engine (diesel/semi-diesel) and electric motors for propulsion, of a g.v.w. exceeding 5,000kg but not exceeding 20,000kg",MARKS7481,Germany,South Africa,South Africa,5,2024,5,2024-05,2024-05-09,20240502,20240502,export,1,210645396.46,26739.41,kg,KG,Webasto SE,,[in full dataset],Stockdorf,,www.webasto.com,[in full dataset],Y,MINE SAFETY VEHICLES (PTY) LTD,[in full dataset],ALBERTON,,www.minesafetyvehicles.co.za,[in full dataset],Y,Webasto SE,[in full dataset],,16681.1,16681.1,Hamburg,Ngqura,ALBERTON,1,1,20.85,MAERSK MOLLER,IMO1379736,PA,V661,441,CMDU,HBL,HLCU414575911,HLCU105562150,BMOU4638572,45HC,OPEN TOP,GP,FCL,CFS/CFS,Sinotrans,24582.11
Goods vehicle (truck),870441,87044170,87044139,5,"Vehicles; with both compression-ignition internal combustion piston engine (diesel/semi-diesel) and electric motor as motor for propulsion, unassembled as in section 14, (gvw not exceeding 5000kg), for the transport of goods, vans",MARKS3098,Spain,South Africa,South Africa,6,2025,5,2025-05,2025-05-22,20250519,20250519,export,1,43470993.09,44621.96,kg,KG,KIA IBERIA SLU,,[in full dataset],ALCOBENDAS,,www.kia.com,[in full dataset],N,PRO - CREATIONS COMPETITION AND LEISURE VEHICLES (PTY) LTD,[in full dataset],KWA-ZULU NATAL,,,,Y,KIA IBERIA SLU,[in full dataset],,16723.8,16723.8,Valencia,Ngqura,KWA-ZULU NATAL,1,1,20.9,EVER GIVEN,IMO8959852,MH,V618,582,ZIMU,HBL,COSU549201880,COSU186649681,GESU1020940,20GP,REEFER,GP,FCL,CFS/CFS,Yusen Logistics,42141.89
Goods vehicle (truck),870460,87046010,8704600000,5,Vehicles; with only electric motor for propulsion,MARKS6058,China,South Africa,South Africa,5,2025,5,2025-05,2025-05-25,20250508,20250508,import,1,163060951.68,3672.06,kg,KG,"ZF (China) Investment Co., Ltd.",,[in full dataset],Shanghai,,,,Y,CUISINE TRAILERS (PTY) LTD,[in full dataset],GAUTENG,,,,Y,"ZF (China) Investment Co., Ltd.",[in full dataset],,12397.2,12397.2,Xiamen,Cape Town,GAUTENG,1,1,15.5,MSC GULSUN,IMO2638279,PA,V230,482,MSCU,HBL,CMDU336548627,COSU126582691,CAIU4831984,45HC,REEFER,RF,FCL,CFS/CFS,Nippon Express,3483.08
Bus / coach,870220,87022087,870220000,7,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS2064,Japan,South Africa,South Africa,9,2024,5,2024-05,2024-05-20,20240517,20240517,export,1,83476238.05,27465.71,kg,KG,IDOM INC.,,[in full dataset],CHIYODA-KU,,idom-inc.com/,[in full dataset],Y,SIPHO ZM GARAGE AND GENERAL VENTURES (PTY) LTD,[in full dataset],MAHLABATINI,,,,N,IDOM INC.,[in full dataset],,3491.9,3491.9,Yokohama,Cape Town,MAHLABATINI,1,1,4.36,CMA CGM JULES VERNE,IMO1233552,MH,V917,451,ONEY,HBL,CMDU563364925,COSU860451094,TGHU9963327,20GP,TANK,GP,LCL,CFS/CFS,Yusen Logistics,23895.21
Passenger car,870360,87036027,87036090,9,"Vehicles; with both spark-ignition internal combustion piston engine and electric motor for propulsion, capable of being charged by plugging to external source of electric power",MARKS9438,Poland,South Africa,South Africa,7,2025,12,2025-12,2025-12-19,20251220,20251220,import,1,12419817.04,37826.52,kg,KG,PILKINGTON AUTOMOTIVE POLAND SP Z O O,,[in full dataset],Sandomierz,,www.pilkington.com,[in full dataset],Y,THE GLEN FILLING STATION (PTY) LTD,[in full dataset],POLOKWANE,,www.vw.com,[in full dataset],Y,PILKINGTON AUTOMOTIVE POLAND SP Z O O,[in full dataset],,11012.3,11012.3,Gdynia,Cape Town,POLOKWANE,1,1,13.77,OOCL HONG KONG,IMO1732089,SG,V312,818,YMLU,MBL,HLCU833277058,MAEU846464416,CAIU4791486,40HC,DRY,HC,FCL,CY/CFS,Kuehne + Nagel,34387.25
Passenger car,870323,87032390,87032320,7,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",MARKS2751,India,South Africa,South Africa,7,2025,5,2025-05,2025-05-26,20250506,20250506,import,1,151263211,8498.31,kg,KG,MARUTI SUZUKI INDIA LIMITED,,[in full dataset],New Delhi,,www.marutisuzuki.com,[in full dataset],Y,LEADER TRAILER BODIES (PTY) LTD,[in full dataset],BRAKPAN,,,,Y,MARUTI SUZUKI INDIA LIMITED,[in full dataset],,1661.7,1661.7,Kandla,Durban,BRAKPAN,1,1,2.08,CMA CGM JULES VERNE,IMO1221281,SG,V139,225,OOLU,HBL,COSU647024428,MSCU998434900,GESU5625595,40HC,FLAT RACK,RF,FCL,CY/CY,DB Schenker,7961.33
Bus / coach,870210,87021010,87021099,9,"Vehicles; public transport type (carries 10 or more persons, including driver), with only compression-ignition internal combustion piston engine (diesel or semi-diesel), new or used",MARKS3473,Germany,South Africa,South Africa,9,2025,8,2025-08,2025-08-07,20250826,20250826,export,1,200338691.61,4282.37,kg,KG,One Mobility Autokabel GmbH,,[in full dataset],Reutlingen,,www.autokabel.com,[in full dataset],Y,J AND C TRAILERS CC,[in full dataset],Johannesburg,,,,N,One Mobility Autokabel GmbH,[in full dataset],,5811.1,5811.1,Hamburg,Cape Town,Johannesburg,1,1,7.26,ONE APUS,IMO4189701,MH,V507,733,COSU,HBL,YMLU186365815,CMDU491942871,TCLU7978524,40GP,REEFER,HC,FCL,CY/CFS,Kuehne + Nagel,3843.74
Motorcycle,871140,,87114000,9,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, internal combustion piston engine of cylinder capacity exceeding 500cc but not exceeding 800cc, with or without sidecars; side-cars",MARKS1882,Spain,South Africa,South Africa,8,2024,7,2024-07,2024-07-20,20240709,20240709,export,1,48694068.07,36633.55,kg,KG,MUTUACTIVOS SA SOCIEDAD GESTORA DE INSTITUCIONES DE INVERSION COLECTIVA,,[in full dataset],MADRID,,www.mutuactivos.com,[in full dataset],Y,WEST RAND CYCLES CC,[in full dataset],ROODEPOORT,,www.westrandcycles.co.za,[in full dataset],Y,MUTUACTIVOS SA SOCIEDAD GESTORA DE INSTITUCIONES DE INVERSION COLECTIVA,[in full dataset],,15028.8,15028.8,Valencia,Ngqura,ROODEPOORT,1,1,18.79,CMA CGM JULES VERNE,IMO6565161,LR,V753,834,MAEU,SWB,HLCU416438824,COSU401479127,TCLU1790950,20GP,DRY,GP,FCL,CFS/CFS,Expeditors,32997.93
Motorcycle,871140,,87114000,8,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, internal combustion piston engine of cylinder capacity exceeding 500cc but not exceeding 800cc, with or without sidecars; side-cars",MARKS8415,Germany,South Africa,South Africa,9,2024,5,2024-05,2024-05-13,20240515,20240515,export,1,210645396.46,43567.83,kg,KG,AUMOVIO SE,,[in full dataset],Frankfurt am Main,,www.aumovio.com,[in full dataset],N,BRIDGE CYCLES CC,[in full dataset],CAPE TOWN,,www.bridgecycles.co.za,[in full dataset],Y,AUMOVIO SE,[in full dataset],,1156.5,1156.5,Bremerhaven,Durban,CAPE TOWN,1,1,1.45,ONE APUS,IMO1833346,PA,V451,282,YMLU,SWB,ONEY103817778,HLCU217961807,CAIU9523253,20GP,TANK,RF,LCL,CY/CY,Nippon Express,40800.17
Goods vehicle (truck),870490,87049090,8704900100,7,"Vehicles; for transport of goods, n.e.c. in heading no. 8704",MARKS9327,United States,South Africa,South Africa,5,2025,12,2025-12,2025-12-19,20251203,20251203,export,1,94332250,6043.49,kg,KG,Tenneco LLC,,[in full dataset],Northville,,www.tenneco.com,[in full dataset],Y,KMSA DISTRIBUTORS (PTY) LTD,[in full dataset],BRAMLEY,,www.kawasakisa.co.za,[in full dataset],Y,Tenneco LLC,[in full dataset],,17443.9,17443.9,"Los Angeles, CA",Durban,BRAMLEY,1,1,21.8,OOCL HONG KONG,IMO4641589,LR,V148,956,MSCU,MBL,EGLV467191356,MAEU811425466,CAIU4712418,40GP,FLAT RACK,HC,LCL,CY/CY,Bollore Logistics,5297.95
Bus / coach,870290,87029087,8702902001,7,"Vehicles; public transport type (carries 10 or more persons, including driver), n.e.c. in heading 8702, new or used",MARKS1224,China,South Africa,South Africa,9,2024,2,2024-02,2024-02-19,20240228,20240228,export,1,129751311,8273.98,kg,KG,Beijing Benz Automobile Co,,[in full dataset],Beijing,,www.bbac.com.cn,[in full dataset],Y,KMSA DISTRIBUTORS (PTY) LTD,[in full dataset],BRAMLEY,,www.kawasakisa.co.za,[in full dataset],N,Beijing Benz Automobile Co,[in full dataset],,9554.3,9554.3,Shenzhen,Durban,BRAMLEY,1,1,11.94,APL MEXICO CITY,IMO3913240,SG,V645,49,YMLU,SWB,COSU484438686,EGLV830780604,GESU3087826,40GP,FLAT RACK,HC,LCL,CY/CFS,DHL Global Forwarding,7754.01
Motorcycle,871190,87119020,8711900019,5,"Motorcycles (including mopeds) and cycles; n.e.c. in heading no. 8711, fitted with auxiliary motor, with or without side-cars; side-cars",MARKS6027,China,South Africa,South Africa,7,2024,8,2024-08,2024-08-22,20240822,20240822,export,1,149147057,4876.75,kg,KG,"Sinotruk Jinan Truck Co., Ltd.",,[in full dataset],Jinan,,www.sinotruk.com,[in full dataset],Y,PS3 TRAILERS (PTY) LTD,[in full dataset],STELLENBOSCH,,,,Y,"Sinotruk Jinan Truck Co., Ltd.",[in full dataset],,14922.9,14922.9,Tianjin,Cape Town,STELLENBOSCH,1,1,18.65,EVER GIVEN,IMO6213893,SG,V679,399,ONEY,HBL,MAEU349450593,CMDU828123527,BMOU9683136,20GP,OPEN TOP,HC,FCL,CFS/CFS,DB Schenker,4478.3
Motorcycle,871150,,8711500000,8,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, with internal combustion piston engine of a cylinder capacity exceeding 800cc, with or without side-cars; side-cars",MARKS4766,China,South Africa,South Africa,5,2024,11,2024-11,2024-11-17,20241123,20241123,export,1,197148390,7587.29,kg,KG,"Xiamen King Long United Automotive Industry Co., Ltd.",,[in full dataset],Xiamen,,www.king-long.com.cn,[in full dataset],Y,MOT BODIES CC,[in full dataset],PRETORIA,,,,N,"Xiamen King Long United Automotive Industry Co., Ltd.",[in full dataset],,18821.9,18821.9,Dalian,Cape Town,PRETORIA,1,1,23.53,MSC OSCAR,IMO7189907,LR,V451,140,ZIMU,MBL,MAEU112968736,YMLU504747144,CAIU9490191,40HC,FLAT RACK,RF,FCL,CY/CFS,Kuehne + Nagel,7012.03
Goods vehicle (truck),870441,87044140,87044110,6,"Vehicles; with both compression-ignition internal combustion piston engine (diesel/semi-diesel) and electric motor as motor for propulsion, unassembled as in section 14, (gvw not exceeding 5000kg), for the transport of goods, vans",MARKS6759,Germany,South Africa,South Africa,6,2024,3,2024-03,2024-03-26,20240313,20240313,export,1,230426399.43,36885.94,kg,KG,JOST Werke SE,,[in full dataset],Neu-Isenburg,,www.jost-world.com,[in full dataset],Y,BB MODIMOLLE VEHICLES (PTY) LTD,[in full dataset],WARMBATHS,,,,Y,JOST Werke SE,[in full dataset],,5566.2,5566.2,Wilhelmshaven,Ngqura,WARMBATHS,1,1,6.96,YM WARRANTY,IMO7576713,PA,V587,527,HLCU,HBL,YMLU507124477,ONEY795703542,CAIU3936941,20GP,FLAT RACK,HC,FCL,CY/CFS,DSV,33975.4
Passenger car,870310,,8703101100,9,"Vehicles; specially designed for travelling on snow, golf cars and similar vehicles",MARKS9925,China,South Africa,South Africa,5,2024,6,2024-06,2024-06-03,20240613,20240613,export,1,145295160,13347.6,kg,KG,"SAIC HONGYAN Automotive Co., Ltd",,[in full dataset],Chongqing,,www.hongyantruck.com,[in full dataset],Y,RANCHWORX IMPLEMENT AND TRACTORS (PTY) LTD,[in full dataset],PRETORIA,,,,Y,"SAIC HONGYAN Automotive Co., Ltd",[in full dataset],,12249.9,12249.9,Shanghai,Durban,PRETORIA,1,1,15.31,OOCL HONG KONG,IMO4920367,PA,V656,317,CMDU,MBL,MAEU533240063,YMLU187329987,TCLU8249185,45HC,TANK,RF,FCL,CY/CFS,DB Schenker,12608.98
Goods vehicle (truck),870421,87042175,87042110,5,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), for transport of goods, (of a gvw not exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS6048,Germany,South Africa,South Africa,6,2025,11,2025-11,2025-11-16,20251116,20251116,export,1,149769190.71,240683.12,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],Y,ICECOLD BODIES MARKETING CC,[in full dataset],BOKSBURG,,www.icecoldgrp.co.za,[in full dataset],Y,TRATON SE,[in full dataset],,3997.9,3997.9,Hamburg,Port Elizabeth,BOKSBURG,1,1,5,EVER ACME,IMO7544876,SG,V827,870,APLU,MBL,ONEY914374512,ONEY455084576,GESU6786895,20GP,TANK,GP,FCL,CY/CY,DHL Global Forwarding,211554.01
Bus / coach,870210,87021085,8702106100,7,"Vehicles; public transport type (carries 10 or more persons, including driver), with only compression-ignition internal combustion piston engine (diesel or semi-diesel), new or used",MARKS9929,United States,South Africa,South Africa,5,2024,5,2024-05,2024-05-02,20240528,20240528,export,1,96688503,34542.51,kg,KG,The Progressive Corporation,,[in full dataset],Mayfield Village,,www.progressive.com,[in full dataset],Y,ROYAL TRUCK BODIES S A (PTY) LTD,[in full dataset],RANDBURG,,www.royaltruck.co.za,[in full dataset],Y,The Progressive Corporation,[in full dataset],,10789.3,10789.3,"Seattle, WA",Ngqura,RANDBURG,1,1,13.49,MADRID MAERSK,IMO5122767,SG,V614,286,COSU,MBL,YMLU452702525,EGLV305307304,MSCU6171331,45HC,TANK,RF,LCL,CY/CFS,Nippon Express,32643.78
Motorcycle,871150,,8711509000,7,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, with internal combustion piston engine of a cylinder capacity exceeding 800cc, with or without side-cars; side-cars",MARKS1319,South Korea,South Africa,South Africa,8,2025,4,2025-04,2025-04-18,20250421,20250421,export,1,20477240,4938.47,kg,KG,DEUTSCH MOTORS INC.,,[in full dataset],Seoul,,www.deutschmotors.com,[in full dataset],Y,TSIANE TRAILERS (PTY) LTD,[in full dataset],KEMPTON PARK,,,,Y,DEUTSCH MOTORS INC.,[in full dataset],,10184,10184,Gwangyang,Port Elizabeth,KEMPTON PARK,1,1,12.73,ONE APUS,IMO5068218,SG,V284,904,MSCU,HBL,COSU426737529,ONEY443793390,TGHU8259701,40HC,FLAT RACK,HC,LCL,CY/CFS,DB Schenker,4679.72
Goods vehicle (truck),870432,87043210,870432000,6,"Vehicles; with only spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS2397,Japan,South Africa,South Africa,6,2024,5,2024-05,2024-05-03,20240517,20240517,import,1,42332307.17,84253.94,kg,KG,"NINTENDO CO., LTD.",,[in full dataset],KYOTO,,www.nintendo.com/jp/,[in full dataset],Y,SOLOMONS CYCLES CC,[in full dataset],JEPPESTOWN,,www.solomonscycles.co.za,[in full dataset],Y,"NINTENDO CO., LTD.",[in full dataset],,6779.7,6779.7,Nagoya,Port Elizabeth,JEPPESTOWN,1,1,8.47,CSCL GLOBE,IMO7188525,SG,V569,261,COSU,SWB,ONEY873064665,ONEY743101096,GESU2261743,40HC,TANK,HC,LCL,CY/CY,Bollore Logistics,76283.65
Goods vehicle (truck),870421,87042140,87042191,5,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), for transport of goods, (of a gvw not exceeding 5 tonnes), n.e.c. in item no 8704.1",MARKS5528,Germany,South Africa,South Africa,5,2025,2,2025-02,2025-02-12,20250218,20250218,import,1,70240654.15,26797.36,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],Y,BBS TRACTORS CC,[in full dataset],LICHTENBURG,,,,Y,TRATON SE,[in full dataset],,12223.6,12223.6,Bremerhaven,Durban,LICHTENBURG,1,1,15.28,MSC OSCAR,IMO2027940,LR,V845,933,ONEY,SWB,MAEU491804332,COSU162321592,BMOU6358775,40GP,REEFER,GP,FCL,CFS/CFS,Sinotrans,23594.69
Passenger car,870324,87032490,87032490,6,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 3000cc",MARKS5862,Germany,South Africa,South Africa,6,2024,8,2024-08,2024-08-24,20240812,20240812,export,1,172860982.87,16174.31,kg,KG,AUMOVIO SE,,[in full dataset],Frankfurt am Main,,www.aumovio.com,[in full dataset],Y,ULTIMATE MINING VEHICLES (PTY) LTD,[in full dataset],PRETORIA,,,,Y,AUMOVIO SE,[in full dataset],,1191,1191,Hamburg,Ngqura,PRETORIA,1,1,1.49,HYUNDAI LOYALTY,IMO2248240,PA,V194,623,CMDU,SWB,HLCU595316961,EGLV882534068,GESU4356127,20GP,OPEN TOP,GP,FCL,CY/CY,Bollore Logistics,15298.65
Goods vehicle (truck),870460,87046005,87046000,5,Vehicles; with only electric motor for propulsion,MARKS2295,Germany,South Africa,South Africa,5,2024,9,2024-09,2024-09-14,20240903,20240903,import,1,87426572.08,41071.47,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],N,PRINCES BENONI VW (PTY) LTD,[in full dataset],BENONI,,www.princesbenoni.co.za,[in full dataset],Y,TRATON SE,[in full dataset],,21438.3,21438.3,Bremerhaven,Port Elizabeth,BENONI,1,1,26.8,MSC OSCAR,IMO6917628,MH,V329,471,ONEY,SWB,CMDU301673431,COSU324868158,CAIU1735701,40HC,TANK,HC,FCL,CY/CFS,Bollore Logistics,38468.01
Passenger car,870370,87037027,,6,"Vehicles; with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, capable of being charged by plugging to external source of electric power",MARKS3718,India,South Africa,South Africa,5,2024,9,2024-09,2024-09-11,20240924,20240924,import,1,165843363.37,79276.77,kg,KG,MARUTI SUZUKI INDIA LIMITED,,[in full dataset],New Delhi,,www.marutisuzuki.com,[in full dataset],Y,FISHEAGLE CAMPERS AND TRAILERS CC,,,,,,Y,MARUTI SUZUKI INDIA LIMITED,,,10601.1,10601.1,Kandla,Port Elizabeth,,1,1,13.25,CMA CGM JULES VERNE,IMO7891605,PA,V793,313,HLCU,SWB,ONEY858676724,HLCU547927842,MSCU2399914,20GP,OPEN TOP,RF,LCL,CY/CY,Sinotrans,74846.19
Bus / coach,870210,87021087,87021019,5,"Vehicles; public transport type (carries 10 or more persons, including driver), with only compression-ignition internal combustion piston engine (diesel or semi-diesel), new or used",MARKS9412,India,South Africa,South Africa,7,2024,4,2024-04,2024-04-25,20240426,20240426,import,1,97984383.12,79815.81,kg,KG,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,,[in full dataset],Gautam Budh Nagar,,www.motherson.com,[in full dataset],Y,THUTHUKA TRUCK TRAILERS CC,[in full dataset],WITBANK,,,,Y,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,[in full dataset],,23446.5,23446.5,"Mundra, Gujarat",Port Elizabeth,WITBANK,1,1,29.31,HMM ALGECIRAS,IMO4612589,LR,V528,672,COSU,HBL,COSU305723840,MAEU283868321,FCIU1685442,45HC,TANK,GP,FCL,CFS/CFS,Bollore Logistics,73761.78
Passenger car,870380,87038090,87038090,7,Vehicles; with only electric motor for propulsion,MARKS5057,Hungary,South Africa,South Africa,8,2025,4,2025-04,2025-04-23,20250420,20250420,export,1,6324705.38,147422.2,kg,KG,Jet Travel Kft.,,[in full dataset],Budapest,,www.jettravel.hu,[in full dataset],Y,TOP MOBILE KITCHEN TRAILERS (PTY) LTD,[in full dataset],PRETORIA,,www.topmobilekitchentrailers.co.za,[in full dataset],Y,Jet Travel Kft.,[in full dataset],,17342.3,17342.3,Koper (via SI),Cape Town,PRETORIA,1,1,21.68,MADRID MAERSK,IMO4771571,MH,V698,170,HLCU,MBL,MSCU957139693,MSCU279767941,GESU2601740,40HC,DRY,RF,LCL,CY/CY,Sinotrans,129515.29
Bus / coach,870220,87022085,87022062,9,"Vehicles; public transport type (carries 10 or more persons, including driver), with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, new or used",MARKS6003,Thailand,South Africa,South Africa,6,2024,6,2024-06,2024-06-12,20240609,20240609,import,1,31004336.95,1471.15,kg,KG,KOW YOO HAH LIMITED PARTNERSHIP,,[in full dataset],PHON,,,,Y,BERRY BRIGHT BODIES AND TRAILER BUILDERS CC,[in full dataset],JOHANNESBURG,,,,N,KOW YOO HAH LIMITED PARTNERSHIP,[in full dataset],,6732.2,6732.2,Bangkok,Cape Town,JOHANNESBURG,1,1,8.42,MSC GULSUN,IMO3276820,PA,V479,238,HMMU,SWB,MAEU929384903,YMLU880054978,TCLU8699030,40GP,FLAT RACK,HC,LCL,CY/CY,Nippon Express,1355.39
Passenger car,870323,87032327,870323000,9,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",MARKS8021,Japan,South Africa,South Africa,8,2025,9,2025-09,2025-09-05,20250917,20250917,export,1,122402250.32,79646.85,kg,KG,"NEXTAGE CO., LTD.",,[in full dataset],NAGOYA,,www.nextage.jp/,[in full dataset],Y,TEE TRAILERS (PTY) LTD,[in full dataset],Johannesburg,,,,Y,"NEXTAGE CO., LTD.",[in full dataset],,20953.5,20953.5,Osaka,Ngqura,Johannesburg,1,1,26.19,EVER ACME,IMO3276834,MH,V200,641,ONEY,MBL,MAEU609535249,COSU466720675,BMOU4292630,40HC,REEFER,HC,LCL,CY/CFS,Nippon Express,69964.11
Motorcycle,871130,,87113090,9,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 250cc but not exceeding 500cc, with or without side-cars; side-cars",MARKS6730,Germany,South Africa,South Africa,9,2025,3,2025-03,2025-03-17,20250318,20250318,export,1,163648783.9,35119.13,kg,KG,TRATON SE,,[in full dataset],München,,www.traton.com,[in full dataset],Y,PRINCES BENONI VW (PTY) LTD,[in full dataset],BENONI,,www.princesbenoni.co.za,[in full dataset],Y,TRATON SE,[in full dataset],,20971.6,20971.6,Hamburg,Cape Town,BENONI,1,1,26.21,APL MEXICO CITY,IMO7579514,LR,V676,711,COSU,HBL,EGLV119714241,YMLU964133090,FCIU1013462,40HC,TANK,RF,LCL,CY/CY,Expeditors,30870.58
Motorcycle,871130,,871130000,5,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, internal combustion piston engine, of cylinder capacity exceeding 250cc but not exceeding 500cc, with or without side-cars; side-cars",MARKS2700,Japan,South Africa,South Africa,7,2025,11,2025-11,2025-11-14,20251115,20251115,export,1,107601091.36,59703.52,kg,KG,SUBARU CORPORATION,,[in full dataset],SHIBUYA-KU,,www.subaru.co.jp/,[in full dataset],N,PRINCES BENONI VW (PTY) LTD,[in full dataset],BENONI,,www.princesbenoni.co.za,[in full dataset],Y,SUBARU CORPORATION,[in full dataset],,21479,21479,Osaka,Durban,BENONI,1,1,26.85,YM WARRANTY,IMO2710265,MH,V583,987,ZIMU,SWB,ONEY884230981,COSU131011581,TGHU5479104,40HC,OPEN TOP,RF,FCL,CFS/CFS,Expeditors,54301.95
Motorcycle,871160,,87116010,6,"Motorcycles (including mopeds) and cycles; fitted with auxiliary motor, with electric motor for propulsion, with or without side-cars; side-cars",MARKS4891,Spain,South Africa,South Africa,9,2025,12,2025-12,2025-12-22,20251207,20251207,export,1,27732438.95,103101.28,kg,KG,NEUMATICOS ANDRES SAU,,[in full dataset],SALAMANCA,,www.grupoandres.com,[in full dataset],Y,MAITE TRAILERS BUILDERS (PTY) LTD,[in full dataset],MARBLE HALL,,,,Y,NEUMATICOS ANDRES SAU,[in full dataset],,18339.3,18339.3,Barcelona,Cape Town,MARBLE HALL,1,1,22.92,CSCL GLOBE,IMO1549363,LR,V582,732,EGLV,MBL,HLCU607662711,ONEY705241070,CAIU6476443,45HC,DRY,GP,FCL,CY/CFS,DB Schenker,96219.82
