product,india_itc_hs8,netherlands_cn8,hs_code,hs_code_sure_level,product_description,marks_and_numbers,origin_country,destination_country,del_country,country_sure_level,year,month,period,sailing_date,estimate_arrival_date,actual_arrival_date,flow,mode_of_transportation,lane_value_usd,cif_value_usd,quantity_unit,weight_unit,supplier_name,supplier_duns,supplier_address,supplier_city,supplier_phone,supplier_website,supplier_contact,indicator_true_supplier,importer_name,importer_address,importer_city,importer_phone,importer_website,importer_contact,indicator_true_buyer,notify_party_name,notify_party_address,also_notify_name,per_shipment_quantity,per_shipment_weight_kg,origin_port,destination_port,port_of_final_delivery,teu,feu,cbm,vessel_name,vessel_code,vessel_country_code,voyage,manifest_no,carrier_sasc_code,bill_type_code,bill_of_lading_no,master_bill_of_lading,container_id,container_size,container_type,container_desc_code,container_load_status,container_type_of_service,freight_forwarder_name,estimated_value_usd
Ginger (whole),09101130,09101100,091011,5,"Spices; ginger, neither crushed nor ground",MARKS9945,India,Netherlands,Netherlands,7,2025,8,2025-08,2025-08-23,20250816,20250816,import,1,3726323.53,1618.29,kg,KG,MATE PATIL URBAN NIDHI LIMITED,[in full dataset],[in full dataset],Aurangabad,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,MATE PATIL URBAN NIDHI LIMITED,[in full dataset],,22715.7,22715.7,Tuticorin,Rotterdam,Utrecht,1,1,28.39,HMM ALGECIRAS,IMO8286698,MH,V657,2,YMLU,MBL,ONEY830626095,MSCU985643593,GESU1558538,45HC,FLAT RACK,RF,LCL,CY/CY,Bollore Logistics,1476.49
"Coriander, crushed/ground",09092200,09092200,090922,9,"Spices; coriander seeds, crushed or ground",MARKS2863,India,Netherlands,Netherlands,6,2024,9,2024-09,2024-09-19,20240920,20240920,import,1,6665850.08,71099.52,kg,KG,PARAS SPICES PRIVATE LIMITED,[in full dataset],[in full dataset],Moga,,www.parasspices.com,[in full dataset],N,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,PARAS SPICES PRIVATE LIMITED,[in full dataset],,12772.2,12772.2,Kandla,Rotterdam,Utrecht,1,1,15.97,EVER ACME,IMO1290222,PA,V527,178,HMMU,MBL,YMLU835258470,HLCU782188848,GESU9705696,40GP,REEFER,HC,LCL,CY/CY,DSV,66807
Black pepper (whole),09041120,09041100,090411,6,"Spices; pepper (of the genus piper), neither crushed nor ground",MARKS4867,India,Netherlands,Netherlands,7,2024,6,2024-06,2024-06-05,20240615,20240615,import,1,5426151.02,16691.58,kg,KG,EMPIRE SPICES AND FOODS LIMITED,[in full dataset],[in full dataset],Mumbai,,www.esfl.co.in,[in full dataset],N,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,EMPIRE SPICES AND FOODS LIMITED,[in full dataset],,13305.1,13305.1,Tuticorin,Amsterdam,Utrecht,1,1,16.63,OOCL HONG KONG,IMO6901332,LR,V337,110,EGLV,SWB,CMDU860993627,EGLV156506191,BMOU5721422,40GP,DRY,GP,LCL,CFS/CFS,Bollore Logistics,15310.78
"Black pepper, crushed/ground",09041200,09041200,090412,7,"Spices; pepper (of the genus piper), crushed or ground",MARKS9733,India,Netherlands,Netherlands,5,2025,5,2025-05,2025-05-16,20250516,20250516,import,1,8489332.66,11951.37,kg,KG,EMPIRE SPICES AND FOODS LIMITED,[in full dataset],[in full dataset],Mumbai,,www.esfl.co.in,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,EMPIRE SPICES AND FOODS LIMITED,[in full dataset],,11074.5,11074.5,Chennai,Rotterdam,Utrecht,1,1,13.84,HYUNDAI LOYALTY,IMO2783377,LR,V281,327,ZIMU,SWB,COSU643125462,ONEY944809425,TCLU8499110,40GP,REEFER,GP,FCL,CY/CY,Kuehne + Nagel,11314.02
Turmeric,09103030,09103000,091030,8,Spices; turmeric (curcuma),MARKS4447,India,Netherlands,Netherlands,7,2024,8,2024-08,2024-08-03,20240819,20240819,import,1,6613112.5,777.66,kg,KG,HIMACHAL GINGER,[in full dataset],[in full dataset],Sirmaur,,,,Y,J.S. Polak Koninklijke Specerijenmaalderij B.V.,[in full dataset],Steenwijk,,www.royalpolakspices.com,[in full dataset],N,HIMACHAL GINGER,[in full dataset],,5034.1,5034.1,Tuticorin,Rotterdam,Steenwijk,1,1,6.29,HMM ALGECIRAS,IMO6986825,PA,V105,93,CMDU,SWB,CMDU737796734,EGLV647425535,CAIU5738554,20GP,DRY,GP,FCL,CY/CY,Bollore Logistics,726.62
"Black pepper, crushed/ground",09041200,09041200,090412,9,"Spices; pepper (of the genus piper), crushed or ground",MARKS2523,India,Netherlands,Netherlands,6,2024,11,2024-11,2024-11-06,20241114,20241114,import,1,4123757.67,4638.61,kg,KG,GINGER COURT,[in full dataset],[in full dataset],Hyderabad,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,GINGER COURT,[in full dataset],,14143,14143,"Mundra, Gujarat",Rotterdam,Utrecht,1,1,17.68,MAERSK MOLLER,IMO3556553,SG,V673,454,ONEY,HBL,MSCU978590808,MSCU816767798,TCLU6715557,20GP,FLAT RACK,RF,LCL,CY/CFS,DHL Global Forwarding,4368.48
Ginger (whole),09101110,09101100,091011,6,"Spices; ginger, neither crushed nor ground",MARKS7916,India,Netherlands,Netherlands,7,2025,7,2025-07,2025-07-14,20250707,20250707,import,1,4053624.08,8535.4,kg,KG,ROOTS CORPORATION LIMITED,[in full dataset],[in full dataset],Mumbai,,www.gingerhotels.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,ROOTS CORPORATION LIMITED,[in full dataset],,8655.6,8655.6,Tuticorin,Rotterdam,Utrecht,1,1,10.82,OOCL HONG KONG,IMO5737122,MH,V599,323,APLU,MBL,MSCU772477469,YMLU322129259,CAIU9742154,40HC,DRY,GP,FCL,CY/CFS,Expeditors,8035.85
Coriander seeds,09092110,09092100,090921,9,"Spices; coriander seeds, neither crushed nor ground",MARKS5656,India,Netherlands,Netherlands,5,2025,4,2025-04,2025-04-06,20250401,20250401,import,1,5330617.29,1222.73,kg,KG,GINGER ADVISORS LLP,[in full dataset],[in full dataset],Mumbai,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,GINGER ADVISORS LLP,[in full dataset],,22373.3,22373.3,Visakhapatnam,Amsterdam,Utrecht,1,1,27.97,CMA CGM JULES VERNE,IMO8719577,SG,V608,909,HLCU,SWB,HLCU594601256,CMDU486047136,GESU2349635,40GP,FLAT RACK,RF,FCL,CFS/CFS,Bollore Logistics,1083.97
Turmeric,09103020,09103000,091030,5,Spices; turmeric (curcuma),MARKS4608,India,Netherlands,Netherlands,5,2025,6,2025-06,2025-06-12,20250628,20250628,import,1,11170668.99,30652.55,kg,KG,OCTAL VIDYADHAR EXPORTS PRIVATE LIMITED,[in full dataset],[in full dataset],Kolkata,,,,Y,J.S. Polak Koninklijke Specerijenmaalderij B.V.,[in full dataset],Steenwijk,,www.royalpolakspices.com,[in full dataset],Y,OCTAL VIDYADHAR EXPORTS PRIVATE LIMITED,[in full dataset],,17733.9,17733.9,Cochin,Amsterdam,Steenwijk,1,1,22.17,APL MEXICO CITY,IMO5121983,LR,V258,185,HMMU,SWB,EGLV748533957,CMDU563103348,FCIU2903986,40HC,FLAT RACK,RF,FCL,CFS/CFS,Sinotrans,28542.79
"Coriander, crushed/ground",09092200,09092200,090922,6,"Spices; coriander seeds, crushed or ground",MARKS5787,India,Netherlands,Netherlands,7,2025,2,2025-02,2025-02-03,20250217,20250217,import,1,3491172.76,1023.97,kg,KG,HIMACHAL GINGER,[in full dataset],[in full dataset],Sirmaur,,,,Y,Capriole Coffee-Service B.V.,[in full dataset],'s-Gravenhage,,www.capriole.nl,[in full dataset],Y,HIMACHAL GINGER,[in full dataset],,24823.5,24823.5,Kolkata,Rotterdam,'s-Gravenhage,1,1,31.03,OOCL HONG KONG,IMO1243672,SG,V741,442,ONEY,MBL,HLCU551340470,CMDU250416175,MSCU7612489,20GP,REEFER,GP,FCL,CY/CY,DHL Global Forwarding,944.61
Ginger (whole),09101190,09101100,091011,9,"Spices; ginger, neither crushed nor ground",MARKS8710,India,Netherlands,Netherlands,8,2025,4,2025-04,2025-04-06,20250421,20250421,import,1,5330617.29,3078.81,kg,KG,SGC DRY GINGER FARMER PRODUCER COMPANY LIMITED,[in full dataset],[in full dataset],Satara,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,SGC DRY GINGER FARMER PRODUCER COMPANY LIMITED,[in full dataset],,17444.6,17444.6,Kandla,Amsterdam,Utrecht,1,1,21.81,EVER ACME,IMO5782946,MH,V699,68,YMLU,SWB,HLCU653026088,CMDU565977059,BMOU8672608,40GP,DRY,RF,FCL,CY/CY,DSV,2802.72
"Chilli/Capsicum, crushed/ground",09042219,09042200,090422,6,"Spices; fruits of the genus Capsicum or Pimenta, crushed or ground",MARKS2844,India,Netherlands,Netherlands,6,2024,8,2024-08,2024-08-24,20240819,20240819,import,1,6613112.5,2622.9,kg,KG,NIVEDITA GINGER & GARLIC WORLD LLP,[in full dataset],[in full dataset],Kolkata,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,NIVEDITA GINGER & GARLIC WORLD LLP,[in full dataset],,23427,23427,Chennai,Rotterdam,Utrecht,1,1,29.28,COSCO UNIVERSE,IMO1771347,PA,V499,258,ZIMU,SWB,COSU910417795,MAEU378636976,GESU7387548,40GP,TANK,GP,FCL,CY/CFS,Yusen Logistics,2410.98
"Ginger, crushed/ground",09101290,09101200,091012,8,"Spices; ginger, crushed or ground",MARKS1396,India,Netherlands,Netherlands,8,2025,6,2025-06,2025-06-27,20250614,20250614,import,1,11170668.99,34203.97,kg,KG,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],[in full dataset],New Delhi,,www.irctc.com/,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],,11040.8,11040.8,"Nhava Sheva (JNPT), Mumbai",Amsterdam,Utrecht,1,1,13.8,MOL TRIUMPH,IMO3317913,LR,V467,27,HLCU,HBL,CMDU325010975,MSCU753853575,TGHU3427732,20GP,FLAT RACK,GP,FCL,CY/CY,Nippon Express,31828.89
"Coriander, crushed/ground",09092200,09092200,090922,7,"Spices; coriander seeds, crushed or ground",MARKS5685,India,Netherlands,Netherlands,8,2025,12,2025-12,2025-12-05,20251218,20251218,import,1,5159218.93,11872.83,kg,KG,CCL PRODUCTS (INDIA) LIMITED,[in full dataset],[in full dataset],Hyderabad,,www.cclproducts.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,CCL PRODUCTS (INDIA) LIMITED,[in full dataset],,9725.6,9725.6,Cochin,Amsterdam,Utrecht,1,1,12.16,ONE APUS,IMO5799982,PA,V744,894,COSU,HBL,MAEU918034508,MSCU950732607,GESU2255241,20GP,REEFER,GP,FCL,CY/CY,CEVA Logistics,10874.13
"Chilli/Capsicum, crushed/ground",09042219,09042200,090422,5,"Spices; fruits of the genus Capsicum or Pimenta, crushed or ground",MARKS3326,India,Netherlands,Netherlands,9,2024,10,2024-10,2024-10-02,20241021,20241021,import,1,5609457.12,4242.38,kg,KG,MCLEOD RUSSEL INDIA LIMITED,[in full dataset],[in full dataset],Kolkata,,www.mcleodrussel.com,[in full dataset],N,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,MCLEOD RUSSEL INDIA LIMITED,[in full dataset],,8334.5,8334.5,Kolkata,Amsterdam,Utrecht,1,1,10.42,OOCL HONG KONG,IMO1452240,MH,V851,456,HLCU,HBL,CMDU346457875,YMLU590539670,GESU7652080,40HC,REEFER,GP,FCL,CY/CFS,Expeditors,3815.53
"Ginger, crushed/ground",09101290,09101200,091012,9,"Spices; ginger, crushed or ground",MARKS3670,India,Netherlands,Netherlands,7,2024,7,2024-07,2024-07-04,20240716,20240716,import,1,9582182.28,362.17,kg,KG,THE INDIAN COFFEE WORKERS CO-OPERATIVE SOCIETY LIMITED,[in full dataset],[in full dataset],Mumbai,,,,Y,J.S. Polak Koninklijke Specerijenmaalderij B.V.,[in full dataset],Steenwijk,,www.royalpolakspices.com,[in full dataset],N,THE INDIAN COFFEE WORKERS CO-OPERATIVE SOCIETY LIMITED,[in full dataset],,16554.5,16554.5,Kandla,Amsterdam,Steenwijk,1,1,20.69,APL MEXICO CITY,IMO3005857,MH,V949,343,CMDU,SWB,MAEU204821950,MSCU127401349,MSCU4471589,45HC,FLAT RACK,HC,FCL,CY/CFS,DB Schenker,321.87
"Ginger, crushed/ground",09101210,09101200,091012,5,"Spices; ginger, crushed or ground",MARKS4721,India,Netherlands,Netherlands,8,2025,3,2025-03,2025-03-02,20250314,20250314,import,1,4166176.36,7110.19,kg,KG,SSK EXPORTS LIMITED,[in full dataset],[in full dataset],Kolkata,,www.sskexports.com,[in full dataset],Y,Euro Koffie B.V.,[in full dataset],Enschede,,www.eurokoffie.com,[in full dataset],Y,SSK EXPORTS LIMITED,[in full dataset],,19160.6,19160.6,Chennai,Rotterdam,Enschede,1,1,23.95,COSCO UNIVERSE,IMO3087921,PA,V929,961,ONEY,MBL,MAEU805343774,YMLU274547260,GESU5156045,45HC,OPEN TOP,RF,FCL,CY/CY,Yusen Logistics,6271.03
Coriander seeds,09092110,09092100,090921,7,"Spices; coriander seeds, neither crushed nor ground",MARKS3243,India,Netherlands,Netherlands,7,2024,1,2024-01,2024-01-10,20240122,20240122,import,1,3584339.46,2225.26,kg,KG,SRI HANUMAN COFFEE WORKS,[in full dataset],[in full dataset],Bengaluru,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,SRI HANUMAN COFFEE WORKS,[in full dataset],,1348.5,1348.5,Tuticorin,Rotterdam,Utrecht,1,1,1.69,APL MEXICO CITY,IMO3793639,LR,V387,724,HMMU,SWB,MAEU925584072,YMLU484140090,CAIU2235006,20GP,OPEN TOP,GP,FCL,CY/CY,Nippon Express,2011.56
Coriander seeds,09092110,09092100,090921,5,"Spices; coriander seeds, neither crushed nor ground",MARKS5919,India,Netherlands,Netherlands,9,2024,8,2024-08,2024-08-24,20240804,20240804,import,1,6613112.5,43854.33,kg,KG,S.L.N. COFFEE PRIVATE LIMITED,[in full dataset],[in full dataset],Kodagu,,www.slncoffee.com,[in full dataset],N,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,S.L.N. COFFEE PRIVATE LIMITED,[in full dataset],,20823.7,20823.7,"Mundra, Gujarat",Rotterdam,Utrecht,1,1,26.03,BARZAN,IMO5787842,MH,V680,246,EGLV,MBL,COSU785066186,CMDU693575873,TCLU8094437,40GP,FLAT RACK,HC,FCL,CY/CFS,CEVA Logistics,40999.08
"Coriander, crushed/ground",09092200,09092200,090922,6,"Spices; coriander seeds, crushed or ground",MARKS9772,India,Netherlands,Netherlands,5,2024,8,2024-08,2024-08-10,20240803,20240803,import,1,6613112.5,4735.27,kg,KG,EMPIRE SPICES AND FOODS LIMITED,[in full dataset],[in full dataset],Mumbai,,www.esfl.co.in,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,EMPIRE SPICES AND FOODS LIMITED,[in full dataset],,22635.1,22635.1,Cochin,Rotterdam,Utrecht,1,1,28.29,ONE APUS,IMO6540340,SG,V894,651,HLCU,SWB,MSCU108260384,COSU499515038,GESU7167738,45HC,FLAT RACK,HC,LCL,CFS/CFS,Sinotrans,4263.17
"Ginger, crushed/ground",09101290,09101200,091012,8,"Spices; ginger, crushed or ground",MARKS5105,India,Netherlands,Netherlands,7,2024,2,2024-02,2024-02-01,20240206,20240206,import,1,3777184.92,6039.6,kg,KG,GINGER WEBS PRIVATE LIMITED,[in full dataset],[in full dataset],New Delhi,,www.gingerwebs.com,[in full dataset],N,J.S. Polak Koninklijke Specerijenmaalderij B.V.,[in full dataset],Steenwijk,,www.royalpolakspices.com,[in full dataset],Y,GINGER WEBS PRIVATE LIMITED,[in full dataset],,9870,9870,"Mundra, Gujarat",Amsterdam,Steenwijk,1,1,12.34,MSC GULSUN,IMO9406492,SG,V893,412,APLU,HBL,ONEY770047226,MSCU724966042,GESU1199738,40HC,REEFER,HC,LCL,CY/CFS,DHL Global Forwarding,5602.6
Coriander seeds,09092190,09092100,090921,6,"Spices; coriander seeds, neither crushed nor ground",MARKS9000,India,Netherlands,Netherlands,8,2024,8,2024-08,2024-08-02,20240806,20240806,import,1,6613112.5,87445.03,kg,KG,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],[in full dataset],New Delhi,,www.irctc.com/,[in full dataset],Y,Continaf B.V.,[in full dataset],Zaandam,,www.daarnhouwer.com,[in full dataset],Y,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],,21514.3,21514.3,"Mundra, Gujarat",Amsterdam,Zaandam,1,1,26.89,MOL TRIUMPH,IMO1698689,PA,V231,957,CMDU,SWB,MAEU921142833,CMDU895267839,CAIU4103852,40GP,REEFER,GP,FCL,CFS/CFS,Nippon Express,77861.46
Cumin seeds,09093121,09093100,090931,8,"Spices; cumin seeds, neither crushed nor ground",MARKS7989,India,Netherlands,Netherlands,7,2024,12,2024-12,2024-12-11,20241224,20241224,import,1,4973909.49,4553.69,kg,KG,MALABAR SPICES COMPANY LIMITED,[in full dataset],[in full dataset],Ernakulam,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,MALABAR SPICES COMPANY LIMITED,[in full dataset],,8979.7,8979.7,"Nhava Sheva (JNPT), Mumbai",Amsterdam,Utrecht,1,1,11.22,COSCO UNIVERSE,IMO7234122,SG,V664,544,ONEY,HBL,ONEY840521360,EGLV628054483,FCIU5051744,20GP,REEFER,GP,LCL,CY/CFS,Yusen Logistics,4301.02
"Coriander, crushed/ground",09092200,09092200,090922,7,"Spices; coriander seeds, crushed or ground",MARKS6196,India,Netherlands,Netherlands,8,2025,7,2025-07,2025-07-08,20250728,20250728,import,1,4053624.08,6190.58,kg,KG,TATA COFFEE LIMITED,[in full dataset],[in full dataset],Bengaluru,,www.tatacoffee.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,TATA COFFEE LIMITED,[in full dataset],,2495.3,2495.3,Cochin,Amsterdam,Utrecht,1,1,3.12,EVER ACME,IMO1988927,LR,V846,325,HMMU,SWB,ONEY881503328,ONEY972070683,FCIU4714971,40HC,TANK,RF,FCL,CFS/CFS,DB Schenker,5622.45
Turmeric,09103030,09103000,091030,8,Spices; turmeric (curcuma),MARKS2375,India,Netherlands,Netherlands,9,2025,4,2025-04,2025-04-17,20250419,20250419,import,1,5330617.29,4657.99,kg,KG,S.L.N. COFFEE PRIVATE LIMITED,[in full dataset],[in full dataset],Kodagu,,www.slncoffee.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,S.L.N. COFFEE PRIVATE LIMITED,[in full dataset],,18504.2,18504.2,Kolkata,Rotterdam,Utrecht,1,1,23.13,CMA CGM JULES VERNE,IMO6157199,PA,V696,206,OOLU,SWB,ONEY644550487,ONEY507473588,FCIU1411631,20GP,TANK,GP,LCL,CFS/CFS,DSV,4115.78
Ginger (whole),09101110,09101100,091011,8,"Spices; ginger, neither crushed nor ground",MARKS1590,India,Netherlands,Netherlands,9,2024,11,2024-11,2024-11-09,20241125,20241125,import,1,4123757.67,1714.03,kg,KG,Cothas Coffee Company (Jp Nagar),[in full dataset],[in full dataset],Bengaluru,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,Cothas Coffee Company (Jp Nagar),[in full dataset],,8932.5,8932.5,Cochin,Amsterdam,Utrecht,1,1,11.17,COSCO UNIVERSE,IMO2961889,LR,V788,22,ZIMU,SWB,COSU918813073,HLCU628757095,CAIU7073557,40HC,FLAT RACK,GP,FCL,CY/CFS,Bollore Logistics,1526.79
"Black pepper, crushed/ground",09041200,09041200,090412,5,"Spices; pepper (of the genus piper), crushed or ground",MARKS3384,India,Netherlands,Netherlands,8,2024,11,2024-11,2024-11-24,20241107,20241107,import,1,4123757.67,147876.24,kg,KG,ROOTS CORPORATION LIMITED,[in full dataset],[in full dataset],Mumbai,,www.gingerhotels.com,[in full dataset],Y,Euro Koffie B.V.,[in full dataset],Enschede,,www.eurokoffie.com,[in full dataset],Y,ROOTS CORPORATION LIMITED,[in full dataset],,14621.4,14621.4,Chennai,Rotterdam,Enschede,1,1,18.28,YM WARRANTY,IMO7845865,MH,V831,985,ZIMU,MBL,MSCU578671389,YMLU667043987,MSCU9480317,40GP,REEFER,GP,FCL,CFS/CFS,Yusen Logistics,133821.38
Cumin seeds,09093129,09093100,090931,6,"Spices; cumin seeds, neither crushed nor ground",MARKS4615,India,Netherlands,Netherlands,6,2024,10,2024-10,2024-10-12,20241028,20241028,import,1,5609457.12,23836.45,kg,KG,CCL PRODUCTS (INDIA) LIMITED,[in full dataset],[in full dataset],Hyderabad,,www.cclproducts.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,CCL PRODUCTS (INDIA) LIMITED,[in full dataset],,6452.4,6452.4,Cochin,Amsterdam,Utrecht,1,1,8.07,APL MEXICO CITY,IMO4628724,MH,V158,914,ONEY,SWB,COSU536622115,CMDU867674498,TCLU4735399,20GP,OPEN TOP,HC,FCL,CY/CY,DHL Global Forwarding,22305.66
Black pepper (whole),09041130,09041100,090411,7,"Spices; pepper (of the genus piper), neither crushed nor ground",MARKS8191,India,Netherlands,Netherlands,7,2024,9,2024-09,2024-09-26,20240915,20240915,import,1,6665850.08,16713.34,kg,KG,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],[in full dataset],New Delhi,,www.irctc.com/,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],N,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,[in full dataset],,20084.5,20084.5,Tuticorin,Rotterdam,Utrecht,1,1,25.11,BARZAN,IMO5884162,LR,V370,55,HLCU,SWB,EGLV878492455,YMLU724102057,TGHU1022086,40HC,TANK,GP,FCL,CFS/CFS,DHL Global Forwarding,15358.49
"Coriander, crushed/ground",09092200,09092200,090922,6,"Spices; coriander seeds, crushed or ground",MARKS3974,India,Netherlands,Netherlands,8,2024,8,2024-08,2024-08-21,20240806,20240806,import,1,6613112.5,26029.52,kg,KG,PARAS SPICES PRIVATE LIMITED,[in full dataset],[in full dataset],Moga,,www.parasspices.com,[in full dataset],N,Room Mate Amsterdam B.V.,[in full dataset],Amsterdam,,www.room-matehotels.com,[in full dataset],Y,PARAS SPICES PRIVATE LIMITED,[in full dataset],,18208,18208,"Nhava Sheva (JNPT), Mumbai",Rotterdam,Amsterdam,1,1,22.76,MADRID MAERSK,IMO9749941,LR,V551,912,MAEU,MBL,COSU345075742,HLCU516786961,FCIU6540212,40HC,OPEN TOP,HC,LCL,CY/CY,Bollore Logistics,23168.84
Black pepper (whole),09041130,09041100,090411,7,"Spices; pepper (of the genus piper), neither crushed nor ground",MARKS2242,India,Netherlands,Netherlands,9,2024,11,2024-11,2024-11-12,20241124,20241124,import,1,4123757.67,1677.77,kg,KG,SGC DRY GINGER FARMER PRODUCER COMPANY LIMITED,[in full dataset],[in full dataset],Satara,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,SGC DRY GINGER FARMER PRODUCER COMPANY LIMITED,[in full dataset],,13540.1,13540.1,Tuticorin,Amsterdam,Utrecht,1,1,16.93,BARZAN,IMO5560042,LR,V402,398,CMDU,SWB,EGLV528191751,MAEU554102825,GESU1348886,40GP,OPEN TOP,HC,LCL,CY/CFS,Kuehne + Nagel,1471.37
Black pepper (whole),09041180,09041100,090411,5,"Spices; pepper (of the genus piper), neither crushed nor ground",MARKS4384,India,Netherlands,Netherlands,9,2025,7,2025-07,2025-07-11,20250712,20250712,import,1,4053624.08,8336.49,kg,KG,ROOTS CORPORATION LIMITED,[in full dataset],[in full dataset],Mumbai,,www.gingerhotels.com,[in full dataset],Y,J.S. Polak Koninklijke Specerijenmaalderij B.V.,[in full dataset],Steenwijk,,www.royalpolakspices.com,[in full dataset],Y,ROOTS CORPORATION LIMITED,[in full dataset],,11166.9,11166.9,"Nhava Sheva (JNPT), Mumbai",Amsterdam,Steenwijk,1,1,13.96,ONE APUS,IMO5038769,SG,V669,156,HMMU,SWB,MAEU409131359,COSU644757819,GESU3938478,20GP,OPEN TOP,GP,FCL,CY/CY,DSV,7923.58
"Black pepper, crushed/ground",09041200,09041200,090412,5,"Spices; pepper (of the genus piper), crushed or ground",MARKS8189,India,Netherlands,Netherlands,9,2025,7,2025-07,2025-07-04,20250714,20250714,import,1,4053624.08,32969.35,kg,KG,THE INDIAN COFFEE WORKERS CO-OPERATIVE SOCIETY LIMITED,[in full dataset],[in full dataset],Mumbai,,,,Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,THE INDIAN COFFEE WORKERS CO-OPERATIVE SOCIETY LIMITED,[in full dataset],,16947.5,16947.5,Kolkata,Rotterdam,Utrecht,1,1,21.18,EVER GIVEN,IMO7279922,LR,V248,374,HLCU,MBL,MSCU735330462,HLCU297293138,MSCU4944552,20GP,DRY,GP,FCL,CY/CY,Yusen Logistics,28898.02
Turmeric,09103010,09103000,091030,7,Spices; turmeric (curcuma),MARKS7506,India,Netherlands,Netherlands,9,2025,7,2025-07,2025-07-11,20250707,20250707,import,1,4053624.08,6962.96,kg,KG,ROOTS CORPORATION LIMITED,[in full dataset],[in full dataset],Mumbai,,www.gingerhotels.com,[in full dataset],Y,JACOBS DOUWE EGBERTS NL B.V.,[in full dataset],Utrecht,,www.de.nl,[in full dataset],Y,ROOTS CORPORATION LIMITED,[in full dataset],,7736.4,7736.4,Visakhapatnam,Amsterdam,Utrecht,1,1,9.67,HYUNDAI LOYALTY,IMO7612340,MH,V657,95,HLCU,MBL,HLCU298592417,EGLV924519327,CAIU9459750,40HC,OPEN TOP,GP,LCL,CY/CY,Kuehne + Nagel,6616.76
